ID,join_date,sex,marital_status,birth_year,branch_code,occupation_code,occupation_category_code,P5DA,RIBP,8NN1,7POT,66FJ,GYSR,SOP4,RVSZ,PYUQ,LJR9,N2MW,AHXO,BSTQ,FM3X,K6QO,QBOL,JWFN,JZ9D,J9JW,GHYX,ECY3
4WKQSBB,01-02-2019,F,M,1987,1X1H,2A7I,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
CP5S02H,01-06-2019,F,M,1981,UAOD,2A7I,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
2YKDILJ,01-06-2013,M,U,1991,748L,QZYX,90QI,0,0,0,0,0,0,SOP4,RVSZ,0,0,0,0,0,0,0,0,0,0,0,0,ECY3
2S9E81J,01-08-2019,M,M,1990,1X1H,BP09,56SI,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
BHDYVFT,01-08-2019,M,M,1990,748L,NO3L,T4MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JZ9D,J9JW,0,0
2ZFEPSR,01-09-2010,F,U,1981,748L,0OJM,T4MS,0,RIBP,8NN1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IJTBZFM,01-09-2019,M,M,1984,748L,UJ5T,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
6ZOZFNF,01-05-2017,F,M,1977,E5SW,0KID,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,0,QBOL,0,0,0,0,0
G4P89ZS,01-05-2018,M,M,1990,XX25,SST3,56SI,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
G05BOWG,01-11-2018,M,M,1995,XX25,RUFT,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
PVWNVLG,01-10-2015,M,M,1985,ZFER,2A7I,T4MS,0,0,0,0,0,0,0,0,PYUQ,0,0,0,0,FM3X,0,0,0,0,0,0,0
2RUZE97,01-01-2019,M,M,1994,748L,B3QW,90QI,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
0JI1SOP,01-05-2018,M,M,1987,1X1H,SST3,56SI,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
R28U7H0,01-02-2017,M,M,1958,ZFER,P4MD,90QI,0,0,0,7POT,0,0,0,0,0,0,0,0,0,0,0,QBOL,0,0,0,0,0
R14Y248,01-08-2018,F,M,1986,XX25,BPSA,90QI,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,QBOL,0,0,0,0,0
D713A6Y,01-07-2017,M,M,1959,748L,B8W8,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,QBOL,0,0,0,GHYX,0
4IOXDPT,01-06-2020,M,U,1977,748L,OPVX,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,QBOL,0,0,0,0,0
WNUIY36,01-05-2018,M,M,1994,748L,SST3,56SI,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
PSG1T6G,01-03-2016,M,M,1984,ZFER,2A7I,T4MS,0,0,0,0,0,0,0,0,PYUQ,0,0,0,BSTQ,0,0,0,0,0,0,0,0
3K53G0X,01-06-2017,M,U,1966,748L,0OJM,T4MS,0,RIBP,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
L0TPNYU,01-11-2019,M,M,1965,30H5,2A7I,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
ILJVPJC,01-06-2018,M,M,1967,30H5,2A7I,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,QBOL,0,0,0,0,0
QGBG7A3,01-05-2019,M,M,1984,E5SW,PKW3,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
5NTVB21,01-05-2019,M,M,1968,30H5,0B60,JD7X,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,QBOL,0,0,0,0,0
CHZCM9F,01-10-2018,M,M,1963,748L,5FPK,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,QBOL,0,0,0,0,0
60377AO,01-05-2019,M,S,1974,1X1H,SST3,56SI,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
ID8PVE0,01-11-2017,F,M,1983,30H5,UJ5T,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
TM9QM3F,01-03-2020,M,M,1987,9F9T,BP09,56SI,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,ECY3
1OBRGMX,01-01-2020,F,M,1966,30H5,0KID,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,0,QBOL,0,0,0,0,0
7S1IQLX,01-11-2016,M,M,1989,XX25,RUFT,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
VJNGFKM,01-06-2017,M,M,1965,UAOD,P4MD,90QI,0,0,0,0,0,0,0,RVSZ,PYUQ,0,0,0,0,0,K6QO,0,0,0,0,0,0
TV4LB8Y,01-10-2019,M,M,1990,30H5,UJ5T,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
ZS9WSBV,01-01-2020,F,M,1977,O67J,0KID,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,QBOL,0,0,0,0,0
L71EB78,01-04-2018,M,M,1976,30H5,N2ZZ,90QI,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
BX7W1FU,01-03-2020,M,M,1979,94KC,UJ5T,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
WDES45S,01-06-2017,M,M,1957,E5SW,6E4H,90QI,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
K2BFAR7,01-04-2019,M,M,1993,XX25,F57O,90QI,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,QBOL,0,0,0,0,0
TDE18FI,01-04-2020,M,M,1973,748L,2A7I,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
5YHNPQO,01-06-2018,M,S,1996,30H5,UJ5T,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
482EGJE,01-06-2019,F,M,1995,E5SW,P4MD,90QI,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
B5B007B,01-02-2018,M,M,1990,1X1H,UJ5T,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
AFXPB9O,01-04-2019,M,M,2000,94KC,SST3,56SI,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
HY2N55W,01-05-2017,F,M,1984,E5SW,0KID,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,QBOL,0,0,0,0,0
6Z164PQ,01-03-2019,M,M,1988,30H5,QZYX,90QI,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
J8T83PH,01-08-2013,M,U,1986,748L,0OJM,T4MS,0,0,0,0,0,0,SOP4,RVSZ,0,0,0,0,0,0,0,0,0,0,0,0,0
8N5TFTV,01-07-2019,M,M,1982,94KC,UJ5T,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
D6CSW8B,01-05-2018,M,M,1972,748L,2A7I,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,ECY3
RZ5VVAJ,01-06-2018,F,M,1984,UAOD,BPSA,90QI,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
E6DRV3Q,01-05-2019,F,M,1982,XX25,0KID,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
UW07V65,01-03-2019,M,M,1984,UAOD,2A7I,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
PRJ4BU7,01-09-2019,M,M,1974,E5SW,0B60,JD7X,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
4E7WZ49,01-08-2019,F,M,1976,1X1H,J9SY,90QI,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
VYPGIW6,01-04-2019,F,S,1982,30H5,UJ5T,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
WD90WEE,01-11-2011,M,S,1989,UAOD,QZYX,90QI,0,0,0,7POT,0,0,0,RVSZ,0,0,0,0,0,0,0,0,0,0,0,0,0
